"","Country","Year","Price","Speed","Cap","Operator"
"1","Afghanistan",2012,"416.666666666667",0.125,"Unlimited","Insta Telecom [Afghanistan]"
"2","Afghanistan",2012,"833.333333333333",0.25,"Unlimited","Insta Telecom [Afghanistan]"
"3","Afghanistan",2012,"1666.66666666667",0.5,"Unlimited","Insta Telecom [Afghanistan]"
"4","Afghanistan",2012,"3333.33333333333",1,"Unlimited","Insta Telecom [Afghanistan]"
"5","Afghanistan",2012,"6666.66666666667",2,"Unlimited","Insta Telecom [Afghanistan]"
"6","Afghanistan",2012,"2000",0.25,"Unlimited","Insta Telecom [Afghanistan]"
"7","Afghanistan",2012,"4000",0.5,"Unlimited","Insta Telecom [Afghanistan]"
"8","Afghanistan",2012,"8000",1,"Unlimited","Insta Telecom [Afghanistan]"
"9","Afghanistan",2012,"16000",2,"Unlimited","Insta Telecom [Afghanistan]"
"10","Algeria",2012,"39.8974358974359",0.5,"Unlimited","Djaweb [Algeria]"
"11","Algeria",2012,"39.8974358974359",0.5,"Unlimited","Djaweb [Algeria]"
"12","Algeria",2012,"39.8974358974359",0.5,"Unlimited","Djaweb [Algeria]"
"13","Algeria",2012,"51.7692307692308",1,"Unlimited","Djaweb [Algeria]"
"14","Algeria",2012,"51.7692307692308",1,"Unlimited","Djaweb [Algeria]"
"15","Algeria",2012,"51.7692307692308",1,"Unlimited","Djaweb [Algeria]"
"16","Algeria",2012,"84.6153846153846",2,"Unlimited","Djaweb [Algeria]"
"17","Algeria",2012,"79.4871794871795",2,"Unlimited","Djaweb [Algeria]"
"18","Algeria",2012,"74.3589743589744",2,"Unlimited","Djaweb [Algeria]"
"19","Algeria",2012,"146.153846153846",4,"Unlimited","Djaweb [Algeria]"
"20","Algeria",2012,"138.461538461538",4,"Unlimited","Djaweb [Algeria]"
"21","Algeria",2012,"130.769230769231",4,"Unlimited","Djaweb [Algeria]"
"22","Algeria",2012,"271.794871794872",8,"Unlimited","Djaweb [Algeria]"
"23","Algeria",2012,"253.846153846154",8,"Unlimited","Djaweb [Algeria]"
"24","Algeria",2012,"235.897435897436",8,"Unlimited","Djaweb [Algeria]"
"25","Algeria",2012,"26.3589743589744",0.25,"Unlimited","Djaweb [Algeria]"
"26","Algeria",2012,"35.7179487179487",0.5,"Unlimited","Djaweb [Algeria]"
