"","X","X2012","X2013","X2014","X2015"
"1","AFN",50.921,55.378,57.248,60.077
"2","DZD",77.536,79.368,80.579,100.691
"3","AOA",95.468,96.518,98.302,120.061
"4","ARS",4.537,5.459,8.075,9.233
"5","AUD",0.966,1.036,1.109,1.331
"6","EUR",0.778,0.753,0.754,0.902
"7","AZN",0.786,0.785,0.784,1.025
"8","BDT",81.863,78.103,77.641,77.947
"9","BYR",8336.898,8880.053,10224.103,15925.988
"10","XOF",510.527,494.04,494.415,591.45
"11","BOB",6.91,6.91,6.91,6.91
"12","BRL",1.953,2.156,2.353,3.331
"13","BGN",1.522,1.474,1.474,1.764
"14","USD",1,1,1,1
"15","XAF",510.527,494.04,494.415,591.45
"16","CAD",0.999,1.03,1.106,1.279
"17","CLP",486.471,495.273,570.348,654.124
"18","CNY",6.312,6.196,6.143,6.227
"19","COP",1796.896,1868.785,2001.781,2741.881
"20","CZK",19.578,19.571,20.758,24.599
"21","DKK",5.792,5.616,5.612,6.728
"22","DOP",39.336,41.808,43.556,45.052
"23","EGP",6.056,6.87,7.078,7.691
"24","GTQ",7.834,7.857,7.732,7.655
"25","HKD",7.756,7.756,7.754,7.752
"26","HUF",225.104,223.695,232.602,279.333
"27","INR",53.437,58.598,61.03,64.152
"28","IDR",9386.629,10461.24,11865.211,13389.413
"29","IRR",12175.547,18414.448,25941.664,29011.491
"30","ILS",3.856,3.611,3.578,3.887
"31","JPY",79.79,97.596,105.945,121.044
"32","JOD",0.71,0.71,0.71,0.71
"33","KES",84.53,86.123,87.922,91.525
"34","KRW",1126.471,1094.853,1052.961,1131.158
"35","KGS",47.004,48.438,53.654,64.462
"36","LAK",8007.758,7860.138,8048.96,8147.906
"37","LYD",1.262,1.272,1.272,1.38
"38","MGA",2194.967,2206.914,2414.812,2933.508
"39","MYR",3.089,3.151,3.273,3.906
"40","MXN",13.169,12.772,13.292,15.848
"41","MAD",8.628,8.406,8.406,9.764
"42","NPR",85.197,92.993,99.531,102.645
"43","PKR",93.395,101.629,101.1,102.769
"44","PGK",2.084,2.245,2.461,2.768
"45","PYG",4424.918,4320.674,4462.192,5204.91
"46","PEN",2.638,2.702,2.839,3.184
"47","PHP",42.229,42.446,44.395,45.503
"48","PLN",3.257,3.161,3.155,3.77
"49","SAR",3.75,3.75,3.75,3.75
"50","RSD",87.973,85.159,88.405,108.811
"51","SGD",1.25,1.251,1.267,1.375
"52","ZAR",8.21,9.655,10.853,12.759
"53","LKR",127.603,129.069,130.565,135.857
"54","SDG",3.573,4.757,5.737,6.408
"55","SEK",6.775,6.514,6.861,8.435
"56","CHF",0.938,0.927,0.916,0.962
"57","SYP",11.225,11.225,11.225,11.225
"58","TWD",29.49007,29.63695,30.30725,31.7268
"59","TZS",1583.003,1600.444,1654.005,1991.391
"60","UGX",2504.563,2586.89,2599.789,3240.645
"61","UAH",7.991,7.993,11.887,21.845
"62","AED",3.673,3.673,3.673,3.673
"63","GBP",0.633,0.64,0.608,0.655
"64","UZS",1889.74,2089.364,2298.408,2578.957
"65","VEF",4.289,6.048,6.284,6.284
"66","YER",214.351,214.89,214.89,214.89
"67","ZMW",5.147,5.396,6.153,8.632
"68","ZWD",1,1,1,1
"69","ETB",17.705,18.544,19.514,20.73
"70","GHS",1.796,1.954,3.029,3.815
"71","NGN",157.499,157.312,158.553,192.441
"72","RON",3.468,3.328,3.349,4.006
"73","TJS",4.738,4.764,4.938,6.163
"74","THB",31.083,30.726,32.48,34.248
"75","TND",1.562,1.625,1.698,1.962
"76","VND",20828,20933.417,21148,21657.415
"77","ZMW",5.147,5.396,6.153,8.632
"78","RUB",30.84,31.837,38.378,60.938
"79","GNF",6985.829,6907.878,7014.119,7485.517
"80","MMK",640.653,933.57,984.346,1162.615
"81","TRY",1.796,1.904,2.189,2.72
"82","AMD",401.764,409.626,415.92,477.918
"83","BSD",1,1,1,1
"84","BDS",1,1,1,1
"85","BZD",2,2,2,2
"86","CFA",510.527,494.04,494.415,591.45
"87","BMD",1,1,1,1
"88","BWP",7.619,8.399,8.976,10.126
"89","KYD",0.833,0.833,0.833,0.833
"90","KMF",382.896,370.53,370.811,443.587
"91","CRC",502.901,499.767,538.317,534.696
"92","HRK",5.85,5.705,5.748,6.858
"93","DJF",177.721,177.721,177.721,177.72
"94","FJD",1.79,1.841,1.887,2.081
"95","GEL",1.651,1.663,1.766,2.269
"96","ISK",125.083,122.179,116.767,131.919
"97","ILS",3.856,3.611,3.578,3.887
"98","JMD",88.751,100.241,110.935,116.896
"99","KZT",149.113,152.129,179.192,221.728
"100","KGS",47.004,48.438,53.654,64.462
"101","LBP",1507.5,1507.5,1507.5,1507.5
"102","MOP",7.99,7.989,7.987,7.985
"103","MKD",47.89,46.395,46.437,55.537
"104","MUR",30.05,30.701,30.622,35.057
"105","MXP",13.169,12.772,13.292,15.848
"106","MDL",12.111,12.587,14.036,18.6
"107","MAD",8.628,8.406,8.406,9.764
"108","NAD",8.21,9.655,10.853,12.759
"109","NPR",85.197,92.993,99.531,102.645
"110","CFP",91.86272,89.76699,89.84468,107.44655
"111","NZD",1.234,1.219,1.205,1.434
"112","NIO",23.547,24.723,25.959,27.257
"113","NOK",5.818,5.875,6.302,8.064
"114","OMR",0.385,0.385,0.385,0.385
"115","PAB",1,1,1,1
"116","PEN",2.638,2.702,2.839,3.184
"117","QAR",3.64,3.64,3.64,3.64
"118","RUB",30.84,31.837,38.378,60.938
"119","XCD",2.7,2.7,2.7,2.7
"120","WST",2.292,2.311,2.332,2.561
"121","SRD",3.3,3.3,3.3,3.417
"122","SOS",24300,24300,24300,24300
"123","CFH",0.938,0.927,0.916,0.962
"124","TZS",1583.003,1600.444,1654.005,1991.391
"125","TTD",6.43,6.443,6.409,6.375
"126","TMT",2.85,2.85,2.85,3.5
"127","UYU",20.311,20.482,23.246,27.327
"128","HTG",41.95,43.463,45.216,50.706
"129","HNL",19.502,20.327,21.05,21.934
"130","IQD",1166.167,1166,1166,1167.333
"131","MWK",249.106,364.407,424.896,487.163
"132","MZN",28.373,30.104,31.353,39.982
"133","RWF",614.295,646.636,681.862,720.975
"134","SLL",4344.038,4332.499,4524.158,4918.914
"135","AFS",50.921,55.378,57.248,60.077
"136","AFL",1.79,1.79,1.79,1.79
"137","BTN",53.437,58.598,61.03,64.152
"138","BND",1.25,1.251,1.267,1.375
"139","CVE",85.822,83.051,83.114,99.426
"140","CDF",919.755,919.793,925.226,925.985
"141","CUC",1,1,1,1
"142","CKZ",19.578,19.571,20.758,24.599
"143","FJD",1.79,1.841,1.887,2.081
"144","GMD",32.077,35.958,41.733,47.516
"145","GHC",1.796,1.954,3.029,3.815
"146","KWD",0.28,0.284,0.285,0.301
"147","LSL",8.21,9.655,10.853,12.759
"148","F CFA",510.527,494.04,494.415,591.45
"149","NIS",3.856,3.611,3.578,3.887
"150","PAB",1,1,1,1
"151","WST",2.292,2.311,2.332,2.561
"152","STD",19068.417,18449.953,18466.403,22090.645
"153","SCR",13.704,12.058,12.747,13.332
"154","SBD",7.355,7.302,7.375,7.915
"155","SZL",8.21,9.655,10.853,12.759
"156","TSH",1583.003,1600.444,1654.005,1991.391
"157","VUV",92.638,94.543,97.072,108.326
