ITU_names;WB_names;Google_names;CountryCode
Afghanistan;Afghanistan;Afghanistan;1
Albania;Albania;;2
Algeria;Algeria;Algeria;3
American Samoa;American Samoa;;4
Andorra;Andorra;Andorra;5
Angola;Angola;Angola;6
Anguilla;;Anguilla;7
Antigua & Barbuda;Antigua and Barbuda;;8
Argentina;Argentina;Argentina;9
Armenia;Armenia;Armenia;10
Aruba;Aruba;Aruba;11
Ascension;;;12
Australia;Australia;Australia;13
Austria;Austria;Austria;14
Azerbaijan;Azerbaijan;Azerbaijan;15
Bahamas;Bahamas, The;Bahamas;16
Bahrain;Bahrain;;17
Bangladesh;Bangladesh;Bangladesh;18
Barbados;Barbados;Barbados;19
Belarus;Belarus;Belarus;20
Belgium;Belgium;Belgium;21
Belize;Belize;Belize;22
Benin;Benin;Benin;23
Bermuda;Bermuda;Bermuda;24
Bhutan;Bhutan;Bhutan;25
Bolivia;Bolivia;Bolivia;26
Bosnia and Herzegovina;Bosnia and Herzegovina;;27
Botswana;Botswana;Botswana;28
Brazil;Brazil;Brazil;29
British Virgin Islands;British Virgin Islands;;30
Brunei Darussalam;Brunei Darussalam;Brunei Darussalam;31
Bulgaria;Bulgaria;Bulgaria;32
Burkina Faso;Burkina Faso;Burkina Faso;33
Burundi;Burundi;Burundi;34
Cambodia;Cambodia;Cambodia;35
Cameroon;Cameroon;Cameroon;36
Canada;Canada;Canada;37
Cape Verde;Cabo Verde;Cape Verde;38
Cayman Islands;Cayman Islands;Cayman Islands;39
Central African Rep.;Central African Republic;;40
Chad;Chad;Chad;41
Chile;Chile;Chile;42
China;China;China;43
Cocos Keeling Islands;;;44
Colombia;Colombia;Colombia;45
Comoros;Comoros;Comoros;46
Congo (Dem. Rep.);Congo, Dem. Rep.;Congo Democratic Republic;47
Congo (Rep.);Congo, Rep.;Congo;48
Costa Rica;Costa Rica;Costa Rica;49
Côte d'Ivoire;Cote d'Ivoire;Cote d'Ivoire;50
Croatia;Croatia;Croatia;51
Cuba;Cuba;Cuba;52
Cyprus;Cyprus;Cyprus;53
Czech Republic;Czech Republic;Czech Republic;54
D.P.R. Korea;Korea, Dem. Peoples Rep.;North Korea;55
Denmark;Denmark;Denmark;56
Djibouti;Djibouti;Djibouti;57
Dominica;Dominica;;58
Dominican Rep.;Dominican Republic;Dominican Republic;59
Ecuador;Ecuador;Ecuador;60
Egypt;Egypt, Arab Rep.;Egypt;61
El Salvador;El Salvador;El Salvador;62
Equatorial Guinea;Equatorial Guinea;Equatorial Guinea;63
Eritrea;Eritrea;Eritrea;64
Estonia;Estonia;;65
Ethiopia;Ethiopia;Ethiopia;66
Falkland (Malvinas) Is.;;;67
Faroe Islands;Faroe Islands;;68
Fiji;Fiji;Fiji;69
Finland;Finland;Finland;70
France;France;France;71
French Polynesia;French Polynesia;French Polynesia;72
Gabon;Gabon;;73
Gambia;Gambia, The;Gambia;74
Georgia;Georgia;Georgia;75
Germany;Germany;Germany;76
Ghana;Ghana;Ghana;77
Gibraltar;Gibraltar;;78
Greece;Greece;Greece;79
Greenland;Greenland;Greenland;80
Grenada;Grenada;Grenada;81
Guam;Guam;;82
Guatemala;Guatemala;Guatemala;83
Guernsey;;;84
Guinea;Guinea;Guinea;85
Guinea-Bissau;Guinea-Bissau;;86
Guyana;Guyana;Guyana;87
Haiti;Haiti;Haiti;88
Honduras;Honduras;Honduras;89
Hong Kong, China;Hong Kong SAR, China;Hong Kong;90
Hungary;Hungary;Hungary;91
Iceland;Iceland;;92
India;India;India;93
Indonesia;Indonesia;Indonesia;94
Iran (I.R.);Iran, Islamic Rep.;Iran;95
Iraq;Iraq;Iraq;96
Ireland;Ireland;Ireland;97
Israel;Israel;Israel;98
Italy;Italy;Italy;99
Jamaica;Jamaica;Jamaica;100
Japan;Japan;Japan;101
