,Names_Google,Names_ITU
1,Afghanistan,Afghanistan
2,Algeria,Algeria
3,Angola,Angola
4,Argentina,Argentina
5,Australia,Australia
6,Austria,Austria
7,Azerbaijan,Azerbaijan
8,Bangladesh,Bangladesh
9,Belarus,Belarus
10,Belgium,Belgium
11,Benin,Benin
12,Bolivia,Bolivia
13,Brazil,Brazil
14,Bulgaria,Bulgaria
15,Burkina Faso,Burkina Faso
16,Burundi,Burundi
17,Cambodia,Cambodia
18,Cameroon,Cameroon
19,Canada,Canada
20,Chile,Chile
21,China,China
22,Colombia,Colombia
23,Cote d'Ivoire,Cote d'Ivoire
24,Czech Republic,Czech Republic
25,Denmark,Denmark
26,Dominican Rep.,Dominican Rep.
27,Ecuador,Ecuador
28,Egypt,Egypt
29,El Salvador,El Salvador
30,Finland,Finland
31,France,France
32,Germany,Germany
33,Ghana,Ghana
34,Greece,Greece
35,Guatemala,Guatemala
36,Haiti,Haiti
37,Honduras,Honduras
38,"Hong Kong, China","Hong Kong, China"
39,Hungary,Hungary
40,India,India
41,Indonesia,Indonesia
42,Iran (Islamic Rep. of),Iran (I.R.)
43,Israel,Israel
44,Italy,Italy
45,Japan,Japan
46,Jordan,Jordan
47,Kenya,Kenya
48,Korea (South),Korea (Rep.)
49,Kyrgyzstan,Kyrgyzstan
50,Lao P.D.R.,Lao P.D.R.
51,Libya,Libya
52,Madagascar,Madagascar
53,Malaysia,Malaysia
54,Mali,Mali
55,Mexico,Mexico
56,Morocco,Morocco
57,Nepal,Nepal
58,Netherlands,Netherlands
59,Nicaragua,Nicaragua
60,Niger,Niger
61,Pakistan,Pakistan
62,Papua New Guinea,Papua New Guinea
63,Paraguay,Paraguay
64,Peru,Peru
65,Philippines,Philippines
66,Poland,Poland
67,Portugal,Portugal
68,Saudi Arabia,Saudi Arabia
69,Senegal,Senegal
70,Serbia,Serbia
71,Sierra Leone,Sierra Leone
72,Singapore,Singapore
73,Slovak Republic,Slovakia
74,South Africa,South Africa
75,Spain,Spain
76,Sri Lanka,Sri Lanka
77,Sudan,Sudan
78,Sweden,Sweden
79,Switzerland,Switzerland
80,Syria,Syria
81,"Taiwan, China","Taiwan, Province of China"
82,Tajikistan,Tajikistan
83,Tanzania,Tanzania
84,Uganda,Uganda
85,Ukraine,Ukraine
86,United Arab Emirates,United Arab Emirates
87,United Kingdom,United Kingdom
88,United States,United States
89,Uzbekistan,Uzbekistan
90,Venezuela,Venezuela
91,Yemen,Yemen
92,Zambia,Zambia
93,Zimbabwe,Zimbabwe
94,Slovenia,Slovenia
95,Ethiopia,Ethiopia
96,Nigeria,Nigeria
97,Romania,Romania
98,Thailand,Thailand
99,Tunisia,Tunisia
100,Viet Nam,Viet Nam
101,Russia,Russian Federation
102,Guinea,Guinea
103,Myanmar,Myanmar
104,Somalia,Somalia
105,Togo,Togo
106,Turkey,Turkey
107,Andorra,Andorra
108,Armenia,Armenia
109,Bahamas,Bahamas
110,Barbados,Barbados
111,Belize,Belize
112,Bermuda,Bermuda
113,Botswana,Botswana
114,Cayman Islands,Cayman Islands
115,Central African Republic,Central African Rep.
116,Comoros,Comoros
117,Congo,Congo (Rep.)
118,Congo Democratic Republic,Congo (Dem. Rep.)
119,Costa Rica,Costa Rica
120,Croatia,Croatia
121,Cuba,Cuba
122,Cyprus,Cyprus
123,Djibouti,Djibouti
124,Dominican Republic,Dominican Rep.
125,Estonia,Estonia
126,Fiji,Fiji
127,Gabon,Gabon
128,Georgia,Georgia
129,Guinea-Bissau,Guinea-Bissau
