Region,Country,ISP,Technology,Product name,Up to?,Downstream bandwidth,Downstream units,Downstream (Mbps),Upstream bandwidth,Upstream units,Usage cap,Cap units,Tariff currency,Connection charge (local currency),Modem cost (local currency),Monthly cost (local currency),Contract term (months),Must also take landline?,Voice mins included?,VAT included?,VAT Rate,Standard Xrate,Monthly cost (US$),PPP Xrate,Monthly cost (US$ PPP),Date tariff recorded,Notes,Source URL
Asia,Afghanistan,Insta Telecom [Afghanistan],ADSL,DSL Shared Connection,,128,Kbps,0.128,64,Kbps,,,AFN,"1,500.00",1500,"1,250.00",,Yes,,?,,49.5,25.25,#N/A,#N/A,2012Q3,Technology : Digital Subscriber Line Access Multiplexer (DSLAM). Technology Genre : ISDN Digital Subscriber Line (IDSL). Connection Ratio : 1:5 (shared),http://www.instatelecom.com/trf_dsl.html
Asia,Afghanistan,Insta Telecom [Afghanistan],ADSL,DSL Shared Connection,,256,Kbps,0.256,128,Kbps,,,AFN,"1,500.00",1500,"2,500.00",,Yes,,?,,49.5,50.51,#N/A,#N/A,2012Q3,Technology : Digital Subscriber Line Access Multiplexer (DSLAM). Technology Genre : ISDN Digital Subscriber Line (IDSL). Connection Ratio : 1:5 (shared),http://www.instatelecom.com/trf_dsl.html
Asia,Afghanistan,Insta Telecom [Afghanistan],ADSL,DSL Shared Connection,,512,Kbps,0.512,256,Kbps,,,AFN,"1,500.00",1500,"5,000.00",,Yes,,?,,49.5,101.01,#N/A,#N/A,2012Q3,Technology : Digital Subscriber Line Access Multiplexer (DSLAM). Technology Genre : ISDN Digital Subscriber Line (IDSL). Connection Ratio : 1:5 (shared),http://www.instatelecom.com/trf_dsl.html
Asia,Afghanistan,Insta Telecom [Afghanistan],ADSL,DSL Shared Connection,,1024,Kbps,1.024,512,Kbps,,,AFN,"1,500.00",1500,"10,000.00",,Yes,,?,,49.5,202.02,#N/A,#N/A,2012Q3,Technology : Digital Subscriber Line Access Multiplexer (DSLAM). Technology Genre : ISDN Digital Subscriber Line (IDSL). Connection Ratio : 1:5 (shared),http://www.instatelecom.com/trf_dsl.html
Asia,Afghanistan,Insta Telecom [Afghanistan],ADSL,DSL Shared Connection,,2048,Kbps,2.048,1024,Kbps,,,AFN,"1,500.00",1500,"20,000.00",,Yes,,?,,49.5,404.04,#N/A,#N/A,2012Q3,Technology : Digital Subscriber Line Access Multiplexer (DSLAM). Technology Genre : ISDN Digital Subscriber Line (IDSL). Connection Ratio : 1:5 (shared),http://www.instatelecom.com/trf_dsl.html
Asia,Afghanistan,Insta Telecom [Afghanistan],ADSL,DSL Dedicated Connection,,256,Kbps,0.256,128,Kbps,,,AFN,"1,500.00",1500,"6,000.00",,Yes,,?,,49.5,121.21,#N/A,#N/A,2012Q3,Technology : Digital Subscriber Line Access Multiplexer (DSLAM). Technology Genre : ISDN Digital Subscriber Line (IDSL). Connection Ratio : 1:1 (dedicated),http://www.instatelecom.com/trf_dsl.html
Asia,Afghanistan,Insta Telecom [Afghanistan],ADSL,DSL Dedicated Connection,,512,Kbps,0.512,256,Kbps,,,AFN,"1,500.00",1500,"12,000.00",,Yes,,?,,49.5,242.42,#N/A,#N/A,2012Q3,Technology : Digital Subscriber Line Access Multiplexer (DSLAM). Technology Genre : ISDN Digital Subscriber Line (IDSL). Connection Ratio : 1:1 (dedicated),http://www.instatelecom.com/trf_dsl.html
Asia,Afghanistan,Insta Telecom [Afghanistan],ADSL,DSL Dedicated Connection,,1024,Kbps,1.024,512,Kbps,,,AFN,"1,500.00",1500,"24,000.00",,Yes,,?,,49.5,484.85,#N/A,#N/A,2012Q3,Technology : Digital Subscriber Line Access Multiplexer (DSLAM). Technology Genre : ISDN Digital Subscriber Line (IDSL). Connection Ratio : 1:1 (dedicated),http://www.instatelecom.com/trf_dsl.html
Asia,Afghanistan,Insta Telecom [Afghanistan],ADSL,DSL Dedicated Connection,,2048,Kbps,2.048,1024,Kbps,,,AFN,"1,500.00",1500,"48,000.00",,Yes,,?,,49.5,969.70,#N/A,#N/A,2012Q3,Technology : Digital Subscriber Line Access Multiplexer (DSLAM). Technology Genre : ISDN Digital Subscriber Line (IDSL). Connection Ratio : 1:1 (dedicated),http://www.instatelecom.com/trf_dsl.html
Africa,Algeria,Djaweb [Algeria],xDSL,@ Nis more Home (1),,512,Kbps,0.512,,,,,DZD,,5000,"1,556.00",1,,,?,,76.54,20.33,43.89064632,35.45,2012Q3,The technology is referred to as NGN; New Generation Network.,http://translate.googleusercontent.com/translate_c?hl=en&prev=/search%3Fq%3Ddjaweb%2Binternet%26hl%3Den%26biw%3D1229%26bih%3D794%26prmd%3Dimvns&rurl=translate.google.lk&sl=fr&u=http://www.djaweb.dz/index_adsl.php%3Fpage%3Dresidentiel&usg=ALkJrhgGZKJQRtf4oytggoqZWTVm-cunSw
