,Country,Year,LCC
1,1,2014,TRUE
2,2,2014,FALSE
3,3,2014,FALSE
4,4,2014,NULL
5,5,2014,FALSE
6,6,2014,TRUE
7,7,2014,NULL
8,8,2014,FALSE
9,9,2014,FALSE
10,10,2014,FALSE
11,11,2014,NULL
12,12,2014,NULL
13,13,2014,FALSE
14,14,2014,FALSE
15,15,2014,FALSE
16,16,2014,NULL
17,17,2014,FALSE
18,18,2014,TRUE
19,19,2014,FALSE
20,20,2014,FALSE
21,21,2014,FALSE
22,22,2014,FALSE
23,23,2014,TRUE
24,24,2014,NULL
25,25,2014,FALSE
26,26,2014,FALSE
27,27,2014,FALSE
28,28,2014,FALSE
29,29,2014,FALSE
30,30,2014,NULL
31,31,2014,FALSE
32,32,2014,FALSE
33,33,2014,TRUE
34,34,2014,NULL
35,35,2014,TRUE
36,36,2014,TRUE
37,37,2014,FALSE
38,38,2014,FALSE
39,39,2014,NULL
40,40,2014,NULL
41,41,2014,TRUE
42,42,2014,FALSE
43,43,2014,FALSE
44,44,2014,NULL
45,45,2014,FALSE
46,46,2014,NULL
47,47,2014,TRUE
48,48,2014,TRUE
49,49,2014,FALSE
50,50,2014,TRUE
51,51,2014,FALSE
52,52,2014,TRUE
53,53,2014,FALSE
54,54,2014,FALSE
55,55,2014,NULL
56,56,2014,FALSE
57,57,2014,TRUE
58,58,2014,FALSE
59,59,2014,FALSE
60,60,2014,FALSE
61,61,2014,FALSE
62,62,2014,FALSE
63,63,2014,TRUE
64,64,2014,TRUE
65,65,2014,FALSE
66,66,2014,TRUE
67,67,2014,NULL
68,68,2014,NULL
69,69,2014,FALSE
70,70,2014,FALSE
71,71,2014,FALSE
72,72,2014,NULL
73,73,2014,TRUE
74,74,2014,TRUE
75,75,2014,FALSE
76,76,2014,FALSE
77,77,2014,FALSE
78,78,2014,NULL
79,79,2014,FALSE
80,80,2014,NULL
81,81,2014,FALSE
82,82,2014,NULL
83,83,2014,FALSE
84,84,2014,NULL
85,85,2014,NULL
86,86,2014,TRUE
87,87,2014,FALSE
88,88,2014,NULL
89,89,2014,FALSE
90,90,2014,FALSE
91,91,2014,FALSE
92,92,2014,FALSE
93,93,2014,TRUE
94,94,2014,FALSE
95,95,2014,FALSE
96,96,2014,NULL
97,97,2014,FALSE
98,98,2014,FALSE
99,99,2014,FALSE
100,100,2014,FALSE
101,101,2014,FALSE
102,102,2014,NULL
103,103,2014,FALSE
104,104,2014,FALSE
105,105,2014,FALSE
106,106,2014,NULL
107,107,2014,FALSE
108,108,2014,FALSE
109,109,2014,FALSE
110,110,2014,TRUE
111,111,2014,FALSE
112,112,2014,FALSE
113,113,2014,TRUE
114,114,2014,TRUE
115,115,2014,NULL
116,116,2014,NULL
117,117,2014,FALSE
118,118,2014,FALSE
119,119,2014,FALSE
120,120,2014,TRUE
121,121,2014,TRUE
122,122,2014,FALSE
123,123,2014,FALSE
124,124,2014,TRUE
125,125,2014,FALSE
126,126,2014,NULL
127,127,2014,TRUE
128,128,2014,FALSE
129,129,2014,NULL
130,130,2014,FALSE
131,131,2014,NULL
132,132,2014,FALSE
133,133,2014,FALSE
134,134,2014,FALSE
135,135,2014,FALSE
