Country,Year,LCC
1,2014,TRUE
2,2014,FALSE
3,2014,FALSE
4,2014,
5,2014,FALSE
6,2014,TRUE
7,2014,
8,2014,FALSE
9,2014,FALSE
10,2014,FALSE
11,2014,
12,2014,
13,2014,FALSE
14,2014,FALSE
15,2014,FALSE
16,2014,
17,2014,FALSE
18,2014,TRUE
19,2014,FALSE
20,2014,FALSE
21,2014,FALSE
22,2014,FALSE
23,2014,TRUE
24,2014,
25,2014,FALSE
26,2014,FALSE
27,2014,FALSE
28,2014,FALSE
29,2014,FALSE
30,2014,
31,2014,FALSE
32,2014,FALSE
33,2014,TRUE
34,2014,
35,2014,TRUE
36,2014,TRUE
37,2014,FALSE
38,2014,FALSE
39,2014,
40,2014,
41,2014,TRUE
42,2014,FALSE
43,2014,FALSE
44,2014,
45,2014,FALSE
46,2014,
47,2014,TRUE
48,2014,TRUE
49,2014,FALSE
50,2014,TRUE
51,2014,FALSE
52,2014,TRUE
53,2014,FALSE
54,2014,FALSE
55,2014,
56,2014,FALSE
57,2014,TRUE
58,2014,FALSE
59,2014,FALSE
60,2014,FALSE
61,2014,FALSE
62,2014,FALSE
63,2014,TRUE
64,2014,TRUE
65,2014,FALSE
66,2014,TRUE
67,2014,
68,2014,
69,2014,FALSE
70,2014,FALSE
71,2014,FALSE
72,2014,
73,2014,TRUE
74,2014,TRUE
75,2014,FALSE
76,2014,FALSE
77,2014,FALSE
78,2014,
79,2014,FALSE
80,2014,
81,2014,FALSE
82,2014,
83,2014,FALSE
84,2014,
85,2014,
86,2014,TRUE
87,2014,FALSE
88,2014,
89,2014,FALSE
90,2014,FALSE
91,2014,FALSE
92,2014,FALSE
93,2014,TRUE
94,2014,FALSE
95,2014,FALSE
96,2014,
97,2014,FALSE
98,2014,FALSE
99,2014,FALSE
100,2014,FALSE
101,2014,FALSE
102,2014,
103,2014,FALSE
104,2014,FALSE
105,2014,FALSE
106,2014,
107,2014,FALSE
108,2014,FALSE
109,2014,FALSE
110,2014,TRUE
111,2014,FALSE
112,2014,FALSE
113,2014,TRUE
114,2014,TRUE
115,2014,
116,2014,
117,2014,FALSE
118,2014,FALSE
119,2014,FALSE
120,2014,TRUE
121,2014,TRUE
122,2014,FALSE
123,2014,FALSE
124,2014,TRUE
125,2014,FALSE
126,2014,
127,2014,TRUE
128,2014,FALSE
129,2014,
130,2014,FALSE
131,2014,
132,2014,FALSE
133,2014,FALSE
134,2014,FALSE
135,2014,FALSE
136,2014,
137,2014,FALSE
138,2014,TRUE
139,2014,TRUE
140,2014,FALSE
141,2014,
142,2014,TRUE
143,2014,
144,2014,FALSE
145,2014,
146,2014,FALSE
147,2014,FALSE
148,2014,
149,2014,TRUE
150,2014,
151,2014,
152,2014,
153,2014,FALSE
154,2014,FALSE
155,2014,TRUE
156,2014,
157,2014,
158,2014,FALSE
159,2014,
160,2014,FALSE
161,2014,FALSE
162,2014,FALSE
163,2014,FALSE
164,2014,FALSE
165,2014,
166,2014,FALSE
167,2014,FALSE
168,2014,FALSE
169,2014,TRUE
170,2014,
171,2014,FALSE
172,2014,
173,2014,FALSE
174,2014,TRUE
175,2014,FALSE
176,2014,FALSE
177,2014,
178,2014,FALSE
179,2014,FALSE
180,2014,FALSE
181,2014,TRUE
182,2014,
183,2014,FALSE
184,2014,TRUE
185,2014,FALSE
186,2014,FALSE
187,2014,
188,2014,FALSE
189,2014,FALSE
190,2014,
191,2014,FALSE
192,2014,TRUE
193,2014,FALSE
194,2014,
195,2014,FALSE
196,2014,FALSE
197,2014,FALSE
198,2014,
199,2014,
200,2014,TRUE
