,Names_Google,Names_ITU,Country_code
1,Afghanistan,Afghanistan,1
2,Algeria,Algeria,3
3,Angola,Angola,6
4,Argentina,Argentina,9
5,Australia,Australia,13
6,Austria,Austria,14
7,Azerbaijan,Azerbaijan,15
8,Bangladesh,Bangladesh,18
9,Belarus,Belarus,20
10,Belgium,Belgium,21
11,Benin,Benin,23
12,Bolivia,Bolivia,26
13,Brazil,Brazil,29
14,Bulgaria,Bulgaria,32
15,Burkina Faso,Burkina Faso,33
16,Burundi,Burundi,34
17,Cambodia,Cambodia,35
18,Cameroon,Cameroon,36
19,Canada,Canada,37
20,Chile,Chile,42
21,China,China,43
22,Colombia,Colombia,45
23,Cote d'Ivoire,Cote d'Ivoire,50
24,Czech Republic,Czech Republic,54
25,Denmark,Denmark,56
26,Dominican Rep.,Dominican Rep.,59
27,Ecuador,Ecuador,60
28,Egypt,Egypt,61
29,El Salvador,El Salvador,62
30,Finland,Finland,70
31,France,France,71
32,Germany,Germany,76
33,Ghana,Ghana,77
34,Greece,Greece,79
35,Guatemala,Guatemala,83
36,Haiti,Haiti,88
37,Honduras,Honduras,89
38,"Hong Kong, China","Hong Kong, China",90
39,Hungary,Hungary,91
40,India,India,93
41,Indonesia,Indonesia,94
42,Iran (Islamic Rep. of),Iran (I.R.),95
43,Israel,Israel,98
44,Italy,Italy,99
45,Japan,Japan,101
46,Jordan,Jordan,103
47,Kenya,Kenya,105
48,Korea (South),Korea (Rep.),107
49,Kyrgyzstan,Kyrgyzstan,109
50,Lao P.D.R.,Lao P.D.R.,110
51,Libya,Libya,115
52,Madagascar,Madagascar,120
53,Malaysia,Malaysia,122
54,Mali,Mali,124
55,Mexico,Mexico,130
56,Morocco,Morocco,137
57,Nepal,Nepal,142
58,Netherlands,Netherlands,144
59,Nicaragua,Nicaragua,147
60,Niger,Niger,148
61,Pakistan,Pakistan,155
62,Papua New Guinea,Papua New Guinea,159
63,Paraguay,Paraguay,160
64,Peru,Peru,161
65,Philippines,Philippines,162
66,Poland,Poland,163
67,Portugal,Portugal,164
68,Saudi Arabia,Saudi Arabia,173
