"CountryCode","Year","LCC","estimate"
1,2008,NA,1
1,2010,1,0
1,2011,NA,1
1,2012,1,0
1,2013,1,0
1,2014,1,0
2,2008,0,0
2,2010,0,0
2,2011,0,0
2,2012,0,0
2,2013,0,0
2,2014,0,0
3,2008,0,0
3,2010,0,0
3,2011,0,0
3,2012,0,0
3,2013,0,0
3,2014,0,0
4,2008,NA,1
4,2010,NA,1
4,2011,NA,1
4,2012,NA,1
4,2013,NA,1
4,2014,NA,1
5,2008,NA,1
5,2010,0,0
5,2011,NA,1
5,2012,0,0
5,2013,0,0
5,2014,0,0
6,2008,1,0
6,2010,1,0
6,2011,1,0
6,2012,1,0
6,2013,1,0
6,2014,1,0
7,2008,NA,1
7,2010,NA,1
7,2011,NA,1
7,2012,NA,1
7,2013,NA,1
7,2014,NA,1
8,2008,0,0
8,2010,0,0
8,2011,0,0
8,2012,0,0
8,2013,0,0
8,2014,0,0
9,2008,0,0
9,2010,0,0
9,2011,0,0
9,2012,0,0
9,2013,0,0
9,2014,0,0
10,2008,0,0
10,2010,0,0
10,2011,0,0
10,2012,0,0
10,2013,0,0
10,2014,0,0
11,2008,NA,1
11,2010,NA,1
11,2011,NA,1
11,2012,NA,1
11,2013,NA,1
11,2014,NA,1
12,2008,NA,1
12,2010,NA,1
12,2011,NA,1
12,2012,NA,1
12,2013,NA,1
12,2014,NA,1
13,2008,0,0
13,2010,0,0
13,2011,0,0
13,2012,0,0
13,2013,0,0
13,2014,0,0
14,2008,0,0
14,2010,0,0
14,2011,0,0
14,2012,0,0
14,2013,0,0
14,2014,0,0
15,2008,0,0
15,2010,0,0
15,2011,0,0
15,2012,0,0
15,2013,0,0
15,2014,0,0
16,2008,NA,1
16,2010,NA,1
16,2011,NA,1
16,2012,NA,1
16,2013,NA,1
16,2014,0,1
17,2008,0,0
17,2010,0,0
17,2011,0,0
17,2012,0,0
17,2013,0,0
17,2014,0,0
18,2008,1,0
18,2010,1,0
18,2011,1,0
18,2012,1,0
18,2013,1,0
18,2014,1,0
19,2008,0,0
19,2010,0,0
19,2011,0,0
19,2012,0,0
19,2013,0,0
19,2014,0,0
20,2008,0,0
20,2010,0,0
20,2011,0,0
20,2012,0,0
20,2013,0,0
20,2014,0,0
21,2008,0,0
21,2010,0,0
21,2011,0,0
21,2012,0,0
21,2013,0,0
21,2014,0,0
22,2008,NA,1
22,2010,0,0
22,2011,NA,1
22,2012,NA,1
22,2013,NA,1
22,2014,0,0
23,2008,1,0
23,2010,1,0
23,2011,1,0
23,2012,1,0
23,2013,1,0
23,2014,1,0
24,2008,NA,1
24,2010,NA,1
24,2011,NA,1
24,2012,NA,1
24,2013,NA,1
24,2014,NA,1
25,2008,1,0
25,2010,1,0
25,2011,0,0
25,2012,1,0
25,2013,0,0
25,2014,0,0
26,2008,0,0
26,2010,0,0
26,2011,0,0
26,2012,0,0
26,2013,0,0
26,2014,0,0
27,2008,0,0
27,2010,0,0
27,2011,0,0
27,2012,0,0
27,2013,0,0
27,2014,0,0
28,2008,0,0
28,2010,0,0
28,2011,0,0
28,2012,0,0
28,2013,0,0
28,2014,0,0
29,2008,0,0
29,2010,0,0
29,2011,0,0
29,2012,0,0
29,2013,0,0
29,2014,0,0
30,2008,NA,1
30,2010,NA,1
30,2011,NA,1
30,2012,NA,1
30,2013,NA,1
30,2014,NA,1
31,2008,0,0
31,2010,0,0
31,2011,0,0
31,2012,0,0
31,2013,0,0
31,2014,0,0
32,2008,0,0
32,2010,0,0
32,2011,0,0
32,2012,0,0
32,2013,0,0
32,2014,0,0
33,2008,1,0
33,2010,1,0
33,2011,1,0
33,2012,1,0
33,2013,1,0
33,2014,1,0
34,2008,NA,1
34,2010,NA,1
34,2011,NA,1
34,2012,NA,1
34,2013,NA,1
34,2014,1,1
35,2008,1,0
35,2010,1,0
35,2011,1,0
35,2012,1,0
35,2013,1,0
35,2014,1,0
36,2008,1,0
36,2010,1,0
36,2011,1,0
36,2012,1,0
36,2013,1,0
36,2014,1,0
37,2008,0,0
37,2010,0,0
37,2011,0,0
37,2012,0,0
37,2013,0,0
37,2014,0,0
38,2008,0,0
38,2010,0,0
38,2011,0,0
38,2012,0,0
38,2013,0,0
38,2014,0,0
39,2008,NA,1
39,2010,NA,1
39,2011,NA,1
39,2012,NA,1
39,2013,NA,1
39,2014,NA,1
40,2008,NA,1
40,2010,NA,1
40,2011,1,0
40,2012,1,0
40,2013,1,0
40,2014,1,1
41,2008,1,0
41,2010,1,0
41,2011,1,0
41,2012,1,0
41,2013,1,0
41,2014,1,0
42,2008,0,0
42,2010,0,0
42,2011,0,0
42,2012,0,0
42,2013,0,0
42,2014,0,0
43,2008,0,0
43,2010,0,0
43,2011,0,0
43,2012,0,0
43,2013,0,0
43,2014,0,0
44,2008,NA,1
44,2010,NA,1
44,2011,NA,1
44,2012,NA,1
44,2013,NA,1
44,2014,NA,1
45,2008,0,0
45,2010,0,0
